C ^-^ Y nghia dinh nghia vat chat cua Lenin duoc the hien:  | C.Cac phuong an tra loi deu dung
A ^-^ Nguyen nhan chu yeu dan den viec Mac va Anghen chua dua ra dinh nghia hoan chinh ve pham tru vat chat la do  | A.Trinh do phat trien cua khoa hoc chua ngang tam
B ^-^ Trong tac pham kinh dien nao sau day, tac pham nao the hien su tap trung day du nhat noi dung ly luan kinh te chinh tri hoc cua chu nghia Mac? Tac pham do cua ai? | B.Bo Tu ban/ C. Mac
D ^-^ Chu nghia Mac - Lenin la hoc thuyet khoa hoc: | D.Khong ngung phat trien tren co so tong ket nhung thanh tuu moi cua su phat trien cac khoa hoc va thuc tien
A ^-^ He thong triet hoc nao coi cam giac la hinh anh chu quan cua the gioi khach quan? | A.Chu nghia duy vat bien chung
D ^-^ The gioi quan la:  | D.He thong quan niem, quan diem chung nhat cua con nguoi ve the gioi
A ^-^ Khi xac dinh tinh chat cua pham tru "Cai chung", triet hoc Mac- Lenin khang dinh cai chung la cai  | A.Ban chat
C ^-^ Co nhung su vat, hien tuong say ra... | C.Co nguyen nhan nhung chua nhan thuc duoc
C ^-^ Vat trong chan khong luon chuyen dong voi gia toc 9,8 m/s2; nuoc o ap suat 1 atmotphe luon soi o 100oC. Dieu nay chung to... | C.Mot nguyen nhan nhat dinh, trong nhung hoan canh giong nhau, se tao nen nhung ket qua giong nhau
B ^-^ Hien thuc la pham tru triet hoc dung de chi nhung gi  | B.Dang ton tai trong thuc te
A ^-^ "Cai don nhat" la pham tru triet hoc dung de chi  | A.Thuoc tinh ton tai duy nhat o mot su vat
C ^-^ Pham tru triet hoc dung de chi nhung gi chua co, nhung se co, se toi khi co dieu kien tuong ung thich hop goi la gi? | C.Kha nang
A ^-^ C.Mac va Ph.Angghen cho rang: cai ma nguoi ta qua quyet cho la...thi lai hoan toan do nhung cai...cau thanh; va cai duoc coi la...lai la hinh thuc trong do an nap... | A.Tat yeu/ ngau nhien; ngau nhien/ tat yeu
A ^-^ "Ket qua" la pham tru triet hoc dung de chi  | A.Nhung thay doi do nguyen nhan gay ra
D ^-^ Chon cau tra loi dung theo quan diem duy vat lich su: | D.San xuat ra cua cai vat chat, tinh than va con nguoi
C ^-^ Chon cau tra loi dung: | C.Quan he san xuat phai phu hop voi trinh do phat trien cua luc luong san xuat
A ^-^ Bo phan nao cua tu lieu lao dong duoc coi la tieu chi phan anh dac trung phat trien cua mot thoi dai kinh te  | A.Cong cu lao dong
A ^-^ Y thuc xa hoi co tinh chat nao sau day  | A.Tinh doc lap tuong doi
D ^-^ Chon cau tra loi dung: | D.Chu nghia duy vat lich su
C ^-^ Nhung cuoc cach mang no ra o Ha Lan, Anh, Phap...thoi ky can dai goi la cach mang nao | C.Cach mang tu san
A ^-^ Trong thoi ky phuc hung giai cap tu san co vi tri nhu the nao doi voi su phat trien cua xa hoi | A.La giai cap tien bo, cach mang
C ^-^ Them cum tu vao cau sau cho thich hop: Mau thuan giua...(1).. phep bien chung voi...(2)...cua he thong triet hoc cua Heghen | C) 1- tinh cach mang; 2 - tinh bao thu
C ^-^ Triet hoc coi vat chat va tinh than nhu nhau goi la | C Triet hoc nhi nguyen
C ^-^ Dien tap hop tu vao cho trong cua cau sau de duoc dinh nghia khai niem noi dung: noi dung la .... nhung mat, nhung yeu to, nhung qua trinh tao nen su vat | C Tong hop tat ca
C ^-^ Them cum tu thich hop vao cho trong cua cau sau de duoc dinh nghia khai niem ket qua: "Ket qua la ...(1).. do ...(2).. lan nhau giua cac mat trong mot su vat hoac giua cac su vat voi nhau gay ra" | C) 1- nhung bien doi xuat hien, 2- su tac dong.
